"","instr","college_student","inFavor_inclusion_diffRating_in_Qguide","strongOpin","age","male","gender_TEXT","yearSchool","condition","instr_A","product_clean1","product_neutral1","product_neutral2","product_clean2","product_clean3","product_neutral3","product_clean4","product_neutral4","product_neutral5","product_clean5","selfAliena_1","selfAliena_2","selfAliena_3","selfAliena_4","amountChoice_writing_essay","av_products_clean","av_products_neutral","self_alienation","amount_choice","cond_Num"
374,1,1,1,7,20,0,"            ","Junior","ProAttitudinal",1,7,7,6,7,7,7,5,1,6,7,1,1,1,1,5,6.6,5.4,1,5,2
375,1,1,1,7,20,0,"            ","2017","No_Choice     ",1,6,4,2,6,2,6,3,2,7,3,5,3,2,2,2,4,4.2,3,2,0
376,1,1,1,7,19,0,"            ","JUNIOR","High_Choice   ",1,7,5,5,3,2,2,7,1,1,6,3,3,5,2,2,5,2.8,3.25,2,1
377,1,1,1,7,19,0,"            ","Sophomore","High_Choice   ",1,7,6,7,7,5,5,7,4,7,4,3,2,2,2,7,6,5.8,2.25,7,1
378,1,1,1,7,21,1,"            ","senior","ProAttitudinal",1,3,5,1,4,5,2,1,1,2,4,1,1,1,1,7,3.4,2.2,1,7,2
379,1,1,1,4,20,0,"            ","senior","No_Choice     ",1,3,3,2,3,4,3,3,1,5,3,4,4,4,4,5,3.2,2.8,4,5,0
380,1,1,1,7,22,1,"            ","senior","High_Choice   ",1,7,1,1,7,7,7,7,1,1,7,2,2,2,2,4,7,2.2,2,4,1
381,1,1,1,6,20,1,"            ","2015","No_Choice     ",1,7,6,6,1,3,5,5,6,7,6,4,4,4,4,1,4.4,6,4,1,0
382,1,1,1,3,18,0,"            ","2017","No_Choice     ",1,5,4,3,2,1,1,1,2,3,3,2,1,2,1,1,2.4,2.6,1.5,1,0
383,1,1,1,6,20,1,"            ","Senior","ProAttitudinal",1,3,4,5,3,2,3,3,1,5,1,2,2,2,2,7,2.4,3.6,2,7,2
384,1,1,1,7,20,0,"            ","Senior","No_Choice     ",1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6.4,7,7,5,0
