district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
NJ-06,NJ,6,Frank Pallone,D,52,45.5,6.4,52,45.5,6.4,0
NJ-07,NJ,7,Tom Kean,R,48.5,49.6,-1.2,48.5,49.6,-1.2,0
NJ-08,NJ,8,Rob Menendez,D,60.8,36.6,24.2,60.8,36.6,24.2,0
NJ-09,NJ,9,Nellie Pou,D,48,49.2,-1.1,48,49.2,-1.1,0
NJ-10,NJ,10,LaMonica McIver,D,74.5,23.7,50.8,74.5,23.8,50.8,0
NJ-11,NJ,11,Analilia Mejia,D,53.3,44.6,8.7,53.3,44.6,8.7,0
NJ-12,NJ,12,Bonnie Watson Coleman,D,60.6,36.7,23.9,60.6,36.7,23.9,0
NM-01,NM,1,Melanie Stansbury,D,55.1,42.4,12.7,55.1,42.4,12.7,0
NM-02,NM,2,Gabe Vasquez,D,48.1,49.9,-1.8,48,49.9,-1.8,0
NM-03,NM,3,Teresa Leger Fernandez,D,51.5,46.3,5.2,51.5,46.3,5.2,0
NV-01,NV,1,Dina Titus,D,50.2,48,2.3,50.2,48,2.3,0
NV-02,NV,2,Mark Amodei,R,41.9,55.8,-13.9,41.9,55.8,-13.9,0
NV-03,NV,3,Susie Lee,D,48.8,49.5,-0.7,48.8,49.5,-0.7,0
NV-04,NV,4,Steven Horsford,D,50.2,47.9,2.3,50.2,47.9,2.3,0
NY-01,NY,1,Nick LaLota,R,44.3,54.3,-10,44.3,54.3,-10,0
NY-02,NY,2,Andrew Garbarino,R,42.5,56.4,-13.9,42.5,56.4,-13.9,0
NY-03,NY,3,Tom Suozzi,D,47.1,51.4,-4.3,47.1,51.4,-4.3,0
NY-04,NY,4,Laura Gillen,D,50,48.8,1.3,50,48.8,1.3,0
NY-05,NY,5,Gregory Meeks,D,70.3,28.2,42.2,70.3,28.2,42.2,0
NY-06,NY,6,Grace Meng,D,52.3,45.9,6.4,52.3,45.9,6.4,0
NY-07,NY,7,Nydia Velazquez,D,71.6,25.7,45.9,71.6,25.7,45.9,0
NY-08,NY,8,Hakeem Jeffries,D,71.2,27.2,44,71.2,27.2,44,0
NY-09,NY,9,Yvette Clarke,D,69.3,28.7,40.6,69.3,28.7,40.6,0
NY-10,NY,10,Dan Goldman,D,79,18.6,60.4,79,18.6,60.4,0
NY-11,NY,11,Nicole Malliotakis,R,36.9,61.3,-24.4,36.9,61.3,-24.4,0
NY-12,NY,12,Jerry Nadler,D,80.8,17.2,63.6,80.8,17.2,63.6,0
NY-13,NY,13,Adriano Espaillat,D,78.8,19.5,59.3,78.8,19.5,59.3,0
NY-14,NY,14,Alexandria Ocasio-Cortez,D,64.9,33.2,31.8,64.9,33.2,31.8,0
NY-15,NY,15,Ritchie Torres,D,73.6,25.3,48.3,73.6,25.3,48.3,0
NY-16,NY,16,George Latimer,D,66.2,33.1,33.1,66.2,33.1,33.1,0
NY-17,NY,17,Mike Lawler,R,49.9,49.3,0.6,49.9,49.4,0.6,0
NY-18,NY,18,Pat Ryan,D,51.3,48,3.3,51.3,48,3.3,0
NY-19,NY,19,Josh Riley,D,50.4,48.7,1.8,50.4,48.7,1.8,0
NY-20,NY,20,Paul Tonko,D,56.5,42.3,14.1,56.5,42.3,14.2,0
NY-21,NY,21,Elise Stefanik,R,39.4,60.1,-20.7,39.4,60.1,-20.6,0
NY-22,NY,22,John Mannion,D,53.5,45.9,7.7,53.5,45.9,7.7,0
NY-23,NY,23,Nick Langworthy,R,39.1,60.1,-21,39.1,60.1,-21,0
NY-24,NY,24,Claudia Tenney,R,38.1,61.2,-23.1,38.1,61.2,-23.1,0
NY-25,NY,25,Joe Morelle,D,58.7,40.2,18.4,58.7,40.2,18.4,0
NY-26,NY,26,Tim Kennedy,D,58.9,39.6,19.3,58.9,39.6,19.3,0
OH-01,OH,1,Greg Landsman,D,52.7,46.3,6.3,48.2,50.8,-2.6,1
OH-02,OH,2,David Taylor,R,25.8,73.4,-47.6,28.5,70.7,-42.2,1
OH-03,OH,3,Joyce Beatty,D,69.6,29.4,40.2,69.6,29.4,40.2,0
OH-04,OH,4,Jim Jordan,R,31.2,67.9,-36.8,28.2,70.9,-42.6,1
